epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,15.5632,0.9311,1.65773,1.23267,0.77784,0.65,0.85563,0.62685,1.70086,1.20648,1.38607,2.11379e-05,2.11379e-05,2.11379e-05
25,15.9793,0.65235,2.01406,1.06817,0.77847,0.65,0.85558,0.60821,1.70274,1.23188,1.38799,2.17741e-05,2.17741e-05,2.17741e-05
26,16.3561,0.85129,1.3122,1.17948,0.77847,0.65,0.85558,0.60821,1.70274,1.23188,1.38799,2.23869e-05,2.23869e-05,2.23869e-05
27,16.7782,0.96373,1.47038,1.40374,0.7606,0.65,0.85484,0.59565,1.70845,1.28696,1.39365,2.2976e-05,2.2976e-05,2.2976e-05
28,17.1843,0.96495,1.21113,1.24808,0.7606,0.65,0.85484,0.59565,1.70845,1.28696,1.39365,2.35417e-05,2.35417e-05,2.35417e-05
29,17.5901,0.92838,1.6565,1.28099,0.76349,0.65,0.85506,0.60786,1.67578,1.30037,1.37743,2.40837e-05,2.40837e-05,2.40837e-05
30,17.9589,1.03534,1.27237,1.32206,0.76349,0.65,0.85506,0.60786,1.67578,1.30037,1.37743,2.46022e-05,2.46022e-05,2.46022e-05
31,18.4112,1.0091,1.69229,1.34747,0.74451,0.65,0.85467,0.57847,1.65495,1.3394,1.3703,2.50971e-05,2.50971e-05,2.50971e-05
32,18.7919,0.66909,1.51241,1.30939,0.74451,0.65,0.85467,0.57847,1.65495,1.3394,1.3703,2.55685e-05,2.55685e-05,2.55685e-05
33,19.207,1.04472,1.94936,1.34806,0.77081,0.65,0.86073,0.56753,1.62934,1.36584,1.35864,2.60163e-05,2.60163e-05,2.60163e-05
34,19.5969,1.07539,1.94673,1.45714,0.77081,0.65,0.86073,0.56753,1.62934,1.36584,1.35864,2.64405e-05,2.64405e-05,2.64405e-05
35,20.0109,0.91526,1.24544,1.31097,0.78251,0.65,0.85234,0.56449,1.60174,1.38727,1.34407,2.68412e-05,2.68412e-05,2.68412e-05
36,20.4069,1.02309,1.47001,1.38638,0.78251,0.65,0.85234,0.56449,1.60174,1.38727,1.34407,2.72183e-05,2.72183e-05,2.72183e-05
37,20.8251,0.97581,1.04377,1.33676,0.79486,0.64987,0.84932,0.56157,1.60576,1.44169,1.35215,2.75718e-05,2.75718e-05,2.75718e-05
38,21.2492,0.54933,0.82923,0.95077,0.79486,0.64987,0.84932,0.56157,1.60576,1.44169,1.35215,2.79018e-05,2.79018e-05,2.79018e-05
39,21.6758,0.72122,0.79233,1.17417,0.7161,0.65,0.85141,0.54727,1.60265,1.50567,1.35515,2.82082e-05,2.82082e-05,2.82082e-05
40,22.0779,0.76642,1.00265,1.16393,0.7161,0.65,0.85141,0.54727,1.60265,1.50567,1.35515,2.84911e-05,2.84911e-05,2.84911e-05
41,22.4841,0.76714,1.10564,1.12239,0.69874,0.65,0.85015,0.54858,1.61035,1.55953,1.36054,2.87504e-05,2.87504e-05,2.87504e-05
42,22.852,0.89602,1.08995,1.17728,0.69874,0.65,0.85015,0.54858,1.61035,1.55953,1.36054,2.89861e-05,2.89861e-05,2.89861e-05
43,23.27,1.00107,0.98615,1.47886,0.77648,0.65,0.84798,0.52701,1.59989,1.60288,1.36043,2.91983e-05,2.91983e-05,2.91983e-05
44,23.6788,0.68482,0.9406,1.08415,0.77648,0.65,0.84798,0.52701,1.59989,1.60288,1.36043,2.93869e-05,2.93869e-05,2.93869e-05
45,24.1136,0.6584,1.43454,1.08962,0.79806,0.65,0.84723,0.52657,1.6157,1.63982,1.37084,2.9552e-05,2.9552e-05,2.9552e-05
46,24.5025,0.86975,1.01732,1.25835,0.79806,0.65,0.84723,0.52657,1.6157,1.63982,1.37084,2.96935e-05,2.96935e-05,2.96935e-05
47,24.9215,0.87643,0.76813,1.26261,0.81905,0.63103,0.84793,0.52915,1.56558,1.65805,1.35276,2.98114e-05,2.98114e-05,2.98114e-05
48,25.317,0.78791,1.02934,1.14798,0.81905,0.63103,0.84793,0.52915,1.56558,1.65805,1.35276,2.99058e-05,2.99058e-05,2.99058e-05
49,25.7411,0.99993,1.10828,1.37416,0.80181,0.64892,0.76579,0.4516,1.55816,1.69862,1.35158,2.99766e-05,2.99766e-05,2.99766e-05
50,26.1283,0.65893,0.87767,1.10333,0.80181,0.64892,0.76579,0.4516,1.55816,1.69862,1.35158,3.00238e-05,3.00238e-05,3.00238e-05
51,26.576,0.7199,0.92539,1.21096,0.73435,0.56667,0.67341,0.38552,1.58724,1.75869,1.36723,3.00475e-05,3.00475e-05,3.00475e-05
52,26.9516,0.82622,1.65368,1.19001,0.73435,0.56667,0.67341,0.38552,1.58724,1.75869,1.36723,3.00476e-05,3.00476e-05,3.00476e-05
53,27.3294,0.63831,1.04858,1.07964,0.73435,0.56667,0.67341,0.38552,1.58724,1.75869,1.36723,3.00242e-05,3.00242e-05,3.00242e-05
54,27.78,0.71694,0.98552,1.1033,0.79135,0.48333,0.68289,0.35934,1.63005,1.85787,1.38737,2.99772e-05,2.99772e-05,2.99772e-05
55,28.224,0.65319,1.1365,1.14494,0.79135,0.48333,0.68289,0.35934,1.63005,1.85787,1.38737,2.99066e-05,2.99066e-05,2.99066e-05
56,28.6144,0.68332,0.84898,1.21706,0.79135,0.48333,0.68289,0.35934,1.63005,1.85787,1.38737,2.98125e-05,2.98125e-05,2.98125e-05
57,29.0607,0.71643,0.73221,1.21216,0.79422,0.48333,0.68264,0.29293,1.65849,1.92637,1.39439,2.96948e-05,2.96948e-05,2.96948e-05
58,29.4693,0.77917,1.02631,1.19233,0.79422,0.48333,0.68264,0.29293,1.65849,1.92637,1.39439,2.95535e-05,2.95535e-05,2.95535e-05
59,29.8631,0.76713,0.73728,1.25381,0.79422,0.48333,0.68264,0.29293,1.65849,1.92637,1.39439,2.93887e-05,2.93887e-05,2.93887e-05
60,30.2737,0.74343,1.02505,1.28746,0.84493,0.47959,0.54265,0.25712,1.75171,1.94362,1.43711,2.92003e-05,2.92003e-05,2.92003e-05
61,30.7097,0.60512,0.68799,1.06275,0.84493,0.47959,0.54265,0.25712,1.75171,1.94362,1.43711,2.89884e-05,2.89884e-05,2.89884e-05
62,31.1025,0.75459,0.92661,1.29718,0.84493,0.47959,0.54265,0.25712,1.75171,1.94362,1.43711,2.87529e-05,2.87529e-05,2.87529e-05
63,31.5073,0.66623,0.84575,1.16314,0.85604,0.47191,0.53213,0.24781,1.74748,1.95858,1.44329,2.84938e-05,2.84938e-05,2.84938e-05
64,31.8807,0.79634,0.77678,1.08565,0.85604,0.47191,0.53213,0.24781,1.74748,1.95858,1.44329,2.82112e-05,2.82112e-05,2.82112e-05
65,32.2642,0.61865,0.69501,1.04219,0.85604,0.47191,0.53213,0.24781,1.74748,1.95858,1.44329,2.7905e-05,2.7905e-05,2.7905e-05
66,32.6825,0.94132,1.95054,1.33349,0.84896,0.47917,0.52278,0.25008,1.73914,2.01426,1.442,2.75753e-05,2.75753e-05,2.75753e-05
67,33.0754,0.75836,0.93147,1.18198,0.84896,0.47917,0.52278,0.25008,1.73914,2.01426,1.442,2.7222e-05,2.7222e-05,2.7222e-05
68,33.4467,0.63218,0.77448,1.0272,0.84896,0.47917,0.52278,0.25008,1.73914,2.01426,1.442,2.68451e-05,2.68451e-05,2.68451e-05
69,33.8596,0.74331,0.71056,1.2901,0.84471,0.47978,0.52421,0.24452,1.79377,2.04863,1.45908,2.64447e-05,2.64447e-05,2.64447e-05
70,34.2428,1.0221,1.07934,1.4524,0.84471,0.47978,0.52421,0.24452,1.79377,2.04863,1.45908,2.60207e-05,2.60207e-05,2.60207e-05
71,34.6443,0.66616,0.70303,1.15247,0.84471,0.47978,0.52421,0.24452,1.79377,2.04863,1.45908,2.55731e-05,2.55731e-05,2.55731e-05
72,35.0513,0.61648,0.97288,1.15196,0.82948,0.48116,0.53011,0.25969,1.81652,2.10369,1.46938,2.5102e-05,2.5102e-05,2.5102e-05
73,35.444,0.56351,0.59755,1.11588,0.82948,0.48116,0.53011,0.25969,1.81652,2.10369,1.46938,2.46073e-05,2.46073e-05,2.46073e-05
74,35.8351,1.06087,1.88958,1.48613,0.82948,0.48116,0.53011,0.25969,1.81652,2.10369,1.46938,2.40891e-05,2.40891e-05,2.40891e-05
75,36.2554,0.9339,0.88992,1.23368,0.86158,0.47646,0.52614,0.26073,1.81521,2.07638,1.45814,2.35472e-05,2.35472e-05,2.35472e-05
76,36.6449,0.91552,0.89154,1.33457,0.86158,0.47646,0.52614,0.26073,1.81521,2.07638,1.45814,2.29819e-05,2.29819e-05,2.29819e-05
77,37.0454,0.67785,0.62924,1.04343,0.86158,0.47646,0.52614,0.26073,1.81521,2.07638,1.45814,2.23929e-05,2.23929e-05,2.23929e-05
78,37.4702,0.66056,1.00597,1.12637,0.85481,0.45942,0.52343,0.25742,1.82256,2.10386,1.45906,2.17805e-05,2.17805e-05,2.17805e-05
79,37.8669,0.89961,1.45608,1.34433,0.85481,0.45942,0.52343,0.25742,1.82256,2.10386,1.45906,2.11444e-05,2.11444e-05,2.11444e-05
80,38.262,0.62097,0.62264,1.11953,0.85481,0.45942,0.52343,0.25742,1.82256,2.10386,1.45906,2.04848e-05,2.04848e-05,2.04848e-05
81,38.7093,0.79179,0.78138,1.10747,0.85624,0.45601,0.52511,0.2528,1.81174,2.10785,1.45047,1.98016e-05,1.98016e-05,1.98016e-05
82,39.1119,0.44359,0.44648,0.9404,0.85624,0.45601,0.52511,0.2528,1.81174,2.10785,1.45047,1.90949e-05,1.90949e-05,1.90949e-05
83,39.5151,0.67523,0.74857,1.0388,0.85624,0.45601,0.52511,0.2528,1.81174,2.10785,1.45047,1.83646e-05,1.83646e-05,1.83646e-05
84,39.9353,0.82057,1.37856,1.27208,0.85099,0.45698,0.52658,0.25142,1.77419,2.13027,1.44254,1.76107e-05,1.76107e-05,1.76107e-05
85,40.3342,0.61588,0.72534,1.17377,0.85099,0.45698,0.52658,0.25142,1.77419,2.13027,1.44254,1.68333e-05,1.68333e-05,1.68333e-05
86,40.7511,0.63968,0.86515,1.15745,0.85099,0.45698,0.52658,0.25142,1.77419,2.13027,1.44254,1.60323e-05,1.60323e-05,1.60323e-05
87,41.1642,0.59126,0.66546,1.09489,0.85099,0.45698,0.52658,0.25142,1.77419,2.13027,1.44254,1.52077e-05,1.52077e-05,1.52077e-05
88,41.5661,0.72545,0.99066,1.11856,0.80916,0.44418,0.51065,0.24546,1.81165,2.16502,1.47053,1.43596e-05,1.43596e-05,1.43596e-05
89,41.9658,0.64929,0.79535,1.15851,0.80916,0.44418,0.51065,0.24546,1.81165,2.16502,1.47053,1.34879e-05,1.34879e-05,1.34879e-05
90,42.3482,0.80446,0.69193,1.10545,0.80916,0.44418,0.51065,0.24546,1.81165,2.16502,1.47053,1.25927e-05,1.25927e-05,1.25927e-05
91,48.9165,0.57099,0.54916,1.06044,0.80916,0.44418,0.51065,0.24546,1.81165,2.16502,1.47053,1.16739e-05,1.16739e-05,1.16739e-05
92,49.3434,0.45121,0.48078,0.8512,0.85966,0.45585,0.52141,0.25153,1.84768,2.13452,1.49119,1.07315e-05,1.07315e-05,1.07315e-05
93,49.7564,0.46327,0.49679,0.95867,0.85966,0.45585,0.52141,0.25153,1.84768,2.13452,1.49119,9.76562e-06,9.76562e-06,9.76562e-06
94,50.163,0.60902,0.62285,1.09395,0.85966,0.45585,0.52141,0.25153,1.84768,2.13452,1.49119,8.77613e-06,8.77613e-06,8.77613e-06
95,50.5382,0.55642,0.68464,1.06218,0.85966,0.45585,0.52141,0.25153,1.84768,2.13452,1.49119,7.76308e-06,7.76308e-06,7.76308e-06
96,50.9575,0.83988,0.78758,1.22628,0.86089,0.45754,0.51975,0.26712,1.85175,2.05395,1.47287,6.72648e-06,6.72648e-06,6.72648e-06
97,51.3476,0.52096,0.45498,0.89506,0.86089,0.45754,0.51975,0.26712,1.85175,2.05395,1.47287,5.6663e-06,5.6663e-06,5.6663e-06
98,51.7297,0.54238,0.62437,1.0084,0.86089,0.45754,0.51975,0.26712,1.85175,2.05395,1.47287,4.58257e-06,4.58257e-06,4.58257e-06
99,52.16,0.55959,0.53135,1.00676,0.86089,0.45754,0.51975,0.26712,1.85175,2.05395,1.47287,3.47528e-06,3.47528e-06,3.47528e-06
100,52.6161,0.45248,0.44997,0.9363,0.85189,0.46288,0.52463,0.27576,1.81902,1.94739,1.45547,2.34442e-06,2.34442e-06,2.34442e-06
